gene,gene_name,zscore,pvalue,pred_perf_R2,VAR_g,n,covariance_n,model_n
BNC2,BNC2,9.25038750286,2.23680260353e-20,0.0952676770758,0.0577507442242,15,16,16
CBX1,CBX1,-6.38323210942,1.7338878948e-10,0.0444612972201,0.0198892140089,10,10,10
C17orf69,C17orf69,5.33681691839,9.45924663909e-08,0.504596970726,0.443207019695,28,28,28
DPEP2,DPEP2,5.30240989457,1.14283878874e-07,0.0330460682362,0.0216680408456,12,12,12
HSCB,HSCB,-5.0966111034,3.45787657672e-07,0.00198580419903,0.0040932844242,14,14,14
TERT,TERT,4.95904689684,7.08398664195e-07,0.00049467276571,0.000634244972086,3,3,3
SKAP1,SKAP1,-4.89900061218,9.6325344348e-07,0.257806715478,0.203033734486,74,74,74
PNPO,PNPO,4.88604766355,1.02880302204e-06,0.174620509719,0.0967359546868,17,17,17
HOXB7,HOXB7,-4.65107847665,3.30203634562e-06,0.0496990108455,0.0496875967426,40,40,40
LEKR1,LEKR1,-4.42913323856,9.46125611317e-06,0.252774723011,0.21195908625,22,22,22
NSF,NSF,4.33546208204,1.45454247069e-05,0.041628015227,0.0402379442891,17,17,17
ESRP2,ESRP2,-4.32304112207,1.5389303526e-05,0.0470268975684,0.0549560103417,31,31,31
ZFP30,ZFP30,4.2208948343,2.43334446414e-05,0.212113752499,0.148229710773,27,27,27
ERBB2IP,ERBB2IP,4.18239342371,2.88456248086e-05,7.26138552027e-06,0.00162718563955,5,5,5
ZNF573,ZNF573,-4.15052977329,3.3170661435e-05,0.00375046148357,0.0015691151671,3,3,3
ZNF607,ZNF607,4.04392302881,5.25641822553e-05,0.0606020319967,0.0378098044846,21,21,21
DUS2L,DUS2L,3.99194987088,6.55322276411e-05,0.4314589567,0.374353114003,25,25,25
SLC7A6,SLC7A6,-3.95987024292,7.49904982708e-05,0.140356376838,0.118103991496,17,17,17
LRRC37A2,LRRC37A2,3.92655541904,8.61710448454e-05,0.319607641325,0.308282715591,71,71,71
C16orf86,C16orf86,-3.87968584459,0.000104591462975,0.177099919214,0.12964399847,22,23,23
SMC2,SMC2,3.83357758896,0.00012629294075,0.0362483170487,0.0286872462128,28,28,28
B3GNT9,B3GNT9,3.8074754198,0.000140392688394,0.0269931925852,0.0336047896011,25,25,25
RNFT1,RNFT1,-3.78719620858,0.000152356788436,0.152313480406,0.153645374812,49,49,49
KBTBD8,KBTBD8,3.72424239387,0.000195902633919,0.0010276322135,0.00221634341453,4,4,4
CHEK2,CHEK2,-3.70755430054,0.000209270553403,0.0454029038348,0.0368772440233,23,23,23
ELMO3,ELMO3,3.68009814992,0.000233144199016,0.0966249363962,0.0796526588813,17,17,17
SUN1,SUN1,-3.67358801597,0.000239168241469,0.016708260529,0.0145630351418,16,16,16
RPS6KB1,RPS6KB1,3.65842493323,0.000253770045189,0.0294304647917,0.0161016560801,20,20,20
AGRP,AGRP,3.6393726141,0.00027330309456,0.00945120272926,0.0105765434649,13,13,13
TTC28,TTC28,-3.62254400704,0.000291719811907,0.113547307382,0.0538827906746,24,24,24
GPR146,GPR146,-3.60273821176,0.000314882612726,0.197985790121,0.132971230138,28,28,28
ZDHHC1,ZDHHC1,3.56703250763,0.000361046706037,0.0640497389337,0.0480847601029,12,12,12
HOXB2,HOXB2,-3.56396087527,0.000365300427917,0.636983065214,0.605884902988,72,74,74
MTX2,MTX2,-3.56223320384,0.000367713521653,0.0124716079838,0.00433007102694,9,9,9
PTGS2,PTGS2,3.54440878599,0.000393494632455,0.025131873878,0.0155352388513,19,19,19
ADAP1,ADAP1,3.53737489612,0.000404125587934,0.308668117826,0.221562111827,55,56,56
MT3,MT3,-3.53696782489,0.00040474897123,0.144728071637,0.1216368923,56,56,56
PLA2G4A,PLA2G4A,3.52890334682,0.000417285505292,0.0471463766618,0.0267223842234,18,18,18
PLEKHA7,PLEKHA7,3.48603241408,0.000490241598417,0.15610109369,0.10815375454,33,35,35
WDR33,WDR33,-3.47153020442,0.000517501110837,0.012536795883,0.00493038027481,7,7,7
CCDC127,CCDC127,-3.46918269592,0.000522044322013,0.330022472504,0.294570881229,14,15,15
CSRP1,CSRP1,-3.46847558583,0.000523420083575,0.047351689742,0.0271075346477,14,14,14
EPB41L2,EPB41L2,3.46547905728,0.000529287747838,0.125698558724,0.0891151538091,55,55,55
XBP1,XBP1,-3.45899119135,0.000542202636687,0.253535244208,0.195816202757,39,39,39
SLC12A3,SLC12A3,-3.45360016356,0.000553156840888,0.0133178941178,0.0232538169312,42,42,42
PSMB10,PSMB10,-3.42609705236,0.00061232154887,0.004355194197,0.00324175892501,4,4,4
HKR1,HKR1,-3.42186160035,0.000621939630043,0.167960168902,0.163416511627,27,27,27
COX19,COX19,3.40854127617,0.000653112037609,0.0375885175459,0.034444061014,30,30,30
FMO4,FMO4,-3.39703133641,0.000681211655734,0.00768403194052,0.0125708214012,26,26,26
ATP6V0D1,ATP6V0D1,-3.39433073693,0.000687965528295,0.339635161764,0.272784869562,27,27,27
GPRIN3,GPRIN3,3.37996473901,0.000724951298185,0.00456749987158,0.0112612621821,38,38,38
RCCD1,RCCD1,-3.36975753893,0.000752343504624,0.353490894392,0.258698492822,20,20,20
GTPBP3,GTPBP3,-3.35932592144,0.000781328593722,0.33121593125,0.24288827354,88,88,88
MED26,MED26,3.34481719111,0.000823368209541,0.00362327635519,0.00857704432226,23,24,24
IFT88,IFT88,-3.33906726931,0.000840602055764,0.405762754377,0.384956261378,29,29,29
EMP1,EMP1,3.33607040609,0.000849716413978,0.00746090392638,0.00517282431381,12,12,12
EEPD1,EEPD1,-3.32839257039,0.000873486861184,0.0788591685492,0.0754856162744,52,52,52
ABHD8,ABHD8,3.31216230254,0.000925778197551,0.10964001036,0.0683534935499,11,11,11
DNAJC18,DNAJC18,-3.2829112523,0.00102741004795,0.292489502184,0.212201219024,5,5,5
CCDC117,CCDC117,-3.2611648359,0.0011095551869,0.0204068328467,0.0148379061108,24,24,24
TMEM221,TMEM221,-3.26106782297,0.00110993488192,0.080953646114,0.057274658216,22,22,22
IMPA2,IMPA2,3.25738736531,0.00112442872886,0.158936232338,0.124707591662,26,26,26
MAFK,MAFK,-3.25264567266,0.00114335972937,0.0466412842638,0.0218199782561,11,11,11
PARP14,PARP14,3.20603637086,0.0013457697725,0.0995457400821,0.102367911015,20,20,20
TATDN3,TATDN3,3.19731953162,0.00138711177784,0.102829851227,0.0824869694507,50,50,50
KIAA1191,KIAA1191,-3.19727656911,0.0013873184088,0.0259358846489,0.0220646985218,21,21,21
SLC9A5,SLC9A5,3.1930243209,0.00140791087962,0.00532731230255,0.00762126168681,9,9,9
C16orf46,C16orf46,3.17621454609,0.00149210555136,0.00411391155625,0.00331794594988,17,17,17
SLU7,SLU7,3.16804372717,0.0015346843585,0.000681726831175,0.000327365272626,2,2,2
KCNAB2,KCNAB2,-3.15915574235,0.00158226910607,0.243115129467,0.190806054435,44,45,45
OPRL1,OPRL1,3.15593182042,0.00159986252758,0.246083847222,0.244208297953,40,40,40
ADRM1,ADRM1,3.15541215208,0.00160271522984,0.00449903943603,0.00800610389482,20,21,21
DEGS1,DEGS1,-3.15502624762,0.00160483666841,0.234355113134,0.188604388984,33,33,33
C6orf226,C6orf226,-3.13761824986,0.00170326554143,0.0891721506141,0.0482841513953,26,26,26
BCS1L,BCS1L,3.13464227386,0.00172063794125,0.00505883300627,0.00266188834427,8,8,8
ZEB1,ZEB1,3.13451524766,0.00172138307616,0.00104197452125,0.00338833809571,7,7,7
CUZD1,CUZD1,3.13003484335,0.0017478556992,0.000731503850479,0.00536945035416,20,20,20
DPEP3,DPEP3,-3.11564033298,0.00183545991247,0.0676658612214,0.0700517826252,14,14,14
FAM20C,FAM20C,-3.07822501737,0.00208237612983,0.169870503923,0.194673540058,68,69,69
MAP1A,MAP1A,-3.07733792958,0.00208858378651,0.0343751098893,0.0207788244553,16,16,16
C20orf201,C20orf201,3.07495722664,0.00210532744787,0.185390359788,0.174515219556,21,21,21
COPZ2,COPZ2,3.06923379377,0.00214608571969,0.216221400064,0.180634865623,66,68,68
SLC35C2,SLC35C2,-3.06581790382,0.00217075475086,0.000613317059957,0.00375535807719,14,14,14
TNFRSF1B,TNFRSF1B,-3.06174680661,0.00220049499368,0.0625553227865,0.0494777857043,36,36,36
TOMM5,TOMM5,3.06125526001,0.00220411100361,0.00366640619122,0.00203357681725,4,4,4
TSNAXIP1,TSNAXIP1,3.05702420205,0.00223546225818,0.0203780745207,0.0162357759925,14,14,14
EIF4G3,EIF4G3,3.05177205236,0.00227494789566,0.0280881851851,0.0235967273658,20,20,20
TCF19,TCF19,-3.04798173481,0.0023038393012,0.538045729526,0.503316121812,104,113,113
ZSCAN29,ZSCAN29,3.03218810194,0.00242787858333,0.155490607579,0.123380130821,16,16,16
SHMT1,SHMT1,3.0194566645,0.0025322851719,0.606957696672,0.520907269699,58,58,58
FBXO10,FBXO10,3.0152534668,0.00256764582433,0.0570519960554,0.0321904029415,23,23,23
MAPK8IP2,MAPK8IP2,3.01108616707,0.00260314970052,0.0402361106604,0.0261375911717,13,13,13
MATR3,MATR3,-3.00658520506,0.00264199999999,0.00636738665343,8.66768216298e-05,1,1,1
C10orf12,C10orf12,2.99000173458,0.00278975862879,0.00120597571211,0.000293705022889,5,5,5
INTS1,INTS1,-2.98917212966,0.00279734492471,0.320297037572,0.289098357302,37,38,38
FCGRT,FCGRT,-2.98220829692,0.00286177218868,0.0665065417563,0.0566249021049,35,35,35
CCDC12,CCDC12,-2.97962428246,0.0028860212847,0.000454333514583,0.00355981386558,8,8,8
PRC1,PRC1,2.97804830874,0.00290090258214,0.0717525155597,0.0593963854507,41,41,41
DIP2C,DIP2C,-2.97620268598,0.00291841908905,0.0915727856888,0.0628158328179,32,33,33
PARP9,PARP9,2.97514161676,0.00292853317415,0.0640386350486,0.0370722726165,33,34,34
FZD6,FZD6,2.97298555622,0.0029491832929,0.314069419106,0.229055848465,40,40,40
PDHB,PDHB,-2.9669915318,0.0030072924175,0.244355790802,0.200721797977,44,44,44
TAX1BP3,TAX1BP3,2.9655094428,0.00302182068511,0.0580183163956,0.0279554011734,6,6,6
SLC2A5,SLC2A5,2.95523982299,0.00312426086971,0.0408536678235,0.0218666396509,12,13,13
ATP2B2,ATP2B2,2.95360158348,0.00314089216436,0.135589314609,0.097496273492,23,23,23
ZNRF3,ZNRF3,-2.95253971419,0.00315171525633,0.0245749188074,0.0243005384752,21,21,21
HOXB3,HOXB3,-2.94977136831,0.00318009162927,0.482493298921,0.468059796945,70,71,71
ZNF432,ZNF432,2.9445902066,0.00323382662752,0.00683074376906,0.0129038386551,35,35,35
STRN4,STRN4,2.93367033243,0.00334979795159,1.62148298722e-06,0.00115071644385,3,3,3
BEGAIN,BEGAIN,2.92865551202,0.00340431489018,0.763980106711,0.734781163785,18,18,18
LRCH1,LRCH1,2.92617027622,0.00343163055369,0.0935247849696,0.0604040398517,26,26,26
SORD,SORD,2.91627966762,0.00354232820747,0.0865042583991,0.0351270860891,17,19,19
RPN1,RPN1,2.9012609154,0.00371664273725,0.0123858843583,0.00990277268564,18,18,18
KIAA0528,KIAA0528,2.90123155073,0.00371699106412,0.12270383723,0.0726011155027,29,30,30
LRRC29,LRRC29,-2.89789181697,0.00375680151573,0.119910923399,0.128817459758,30,30,30
USP44,USP44,-2.89724590982,0.00376454546562,0.123760203507,0.0791717313474,19,19,19
HES4,HES4,2.88902149473,0.00386442657466,0.18952113143,0.156322387723,21,21,21
CCDC30,CCDC30,-2.88246153008,0.00394581314215,0.0610460447514,0.038026459487,32,33,33
DPY19L4,DPY19L4,-2.88036484744,0.00397215214088,0.0225524287675,0.0422206051221,60,60,60
LDHB,LDHB,-2.87728054778,0.0040111880266,0.00363788740798,0.00465968313109,13,13,13
ATMIN,ATMIN,2.87258679564,0.00407126226354,0.0297825607918,0.0185405994175,16,16,16
ZBTB7B,ZBTB7B,2.87038452827,0.00409972904627,0.00593661555858,0.0030781453673,7,7,7
SIRT2,SIRT2,-2.86972095796,0.00410834178386,0.0933932118592,0.0595620358673,15,15,15
NUCB2,NUCB2,2.85809625112,0.00426191093513,0.111944020884,0.0950585075483,29,30,30
ASTL,ASTL,2.85741972545,0.00427100651727,0.000168328002112,0.00104904243675,5,5,5
ZNF175,ZNF175,2.84208821909,0.00448190876966,0.188165210475,0.13722155969,17,17,17
MUC1,MUC1,2.83719510707,0.00455117912845,0.0683717779417,0.0343264788748,4,4,4
